,fluxes
R_EX_pi(e),-0.009534291549613083
R_EX_pnto_R(e),0.0
R_EX_pro_L(e),0.0
R_EX_ptrc(e),0.0
R_EX_pyr(e),0.0
R_EX_rib_D(e),0.0
R_EX_ribflv(e),0.0
R_EX_sbt_D(e),0.0
R_EX_sbt_L(e),0.0
R_EX_ser_L(e),0.0
R_EX_so4(e),-0.0009910806102163344
R_EX_spmd(e),0.0
R_EX_sprm(e),0.0
R_EX_srb_L(e),0.0
R_EX_succ(e),0.0
R_EX_thm(e),0.0
R_EX_thmmp(e),0.0
R_EX_thmpp(e),0.0
R_EX_thr_L(e),0.0
R_EX_thym(e),0.0
R_EX_thymd(e),0.0
R_EX_tre(e),0.0
R_EX_trp_L(e),0.0
R_EX_ttdca(e),0.0
R_EX_tyr_L(e),0.0
R_EX_ura(e),0.0
R_EX_urea(e),0.0
R_EX_uri(e),0.0
R_EX_val_L(e),0.0
R_EX_xan(e),0.0
R_EX_xtsn(e),0.0
R_EX_xyl_D(e),0.0
R_EX_xylt(e),0.0
R_EX_zymst(e),0.0
R_FA100tp,0.0
R_FA120ACPH,0.0
R_FA120ACPtm,0.0
R_FA120tp,0.0
R_FA140ACPH,0.0
R_FA140ACPtm,0.0
R_FA140COAabcp,0.0
R_FA140tp,0.0
R_FA141ACPH,0.0
R_FA141ACPtm,0.0
R_FA141COAabcp,0.0
R_FA141tp,0.0
R_FA160ACPH,0.0
R_FA160ACPtm,0.0
R_FA160COAabcp,0.0
R_FA160tp,0.0
R_FA161ACPH,0.0
R_FA161ACPtm,0.0
R_FA161COAabcp,0.0
R_FA161tp,0.0
R_FA180ACPH,0.0
R_FA180ACPtm,0.0
R_FA180COAabcp,0.0
R_FA181ACPH,0.0
R_FA181ACPtm,0.0
R_FA181COAabcp,0.0
R_FA182ACPH,0.0
R_FA182ACPtm,0.0
R_FA182COAabcp,0.0
R_FA240tp,0.0
R_FA260tp,0.0
R_FA80tp,0.0
R_FACOAL100p,0.0
R_FACOAL120p,0.0
R_FACOAL140,0.0
R_FACOAL140p,0.0
R_FACOAL141,0.0
R_FACOAL141p,0.0
R_FACOAL160,0.0
R_FACOAL161,0.0
